block,street_name,latitude,longitude,postal,onemap_address
302D,PUNGGOL PL,1.40458429708747,103.905198651103,824302,302D PUNGGOL PLACE CORALINUS SINGAPORE 824302
274C,PUNGGOL PL,1.4032584306282,103.902008676006,823274,274C PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 823274
207D,PUNGGOL PL,1.40094652941198,103.900708420292,824207,207D PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 824207
274D,PUNGGOL PL,1.40303370918855,103.901688542522,824274,274D PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 824274
208C,PUNGGOL PL,1.40094119675936,103.901144550587,823208,208C PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 823208
306B,PUNGGOL PL,1.40579230457974,103.905777174695,822306,306B PUNGGOL PLACE TREELODGE@PUNGGOL SINGAPORE 822306
289A,PUNGGOL PL,1.40157247042169,103.902619076474,821289,289A PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 821289
289B,PUNGGOL PL,1.4013435609028,103.90312699575,822289,289B PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 822289
302B,PUNGGOL PL,1.40437493103842,103.904784032402,822302,302B PUNGGOL PLACE CORALINUS SINGAPORE 822302
274A,PUNGGOL PL,1.40273620716859,103.902352112902,821274,274A PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 821274
302C,PUNGGOL PL,1.40472047410992,103.904967908234,823302,302C PUNGGOL PLACE CORALINUS SINGAPORE 823302
268D,PUNGGOL FIELD,1.40331378111347,103.898358925104,824268,268D PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 824268
110B,PUNGGOL FIELD,1.39566023887701,103.909627012363,822110,110B PUNGGOL FIELD SINGAPORE 822110
106C,PUNGGOL FIELD,1.39736664207497,103.907562230122,823106,106C PUNGGOL FIELD SINGAPORE 823106
173A,PUNGGOL FIELD,,,,
267A,PUNGGOL FIELD,,,,
196B,PUNGGOL FIELD,,,,
169C,PUNGGOL FIELD,1.3936210916849,103.91422364645,823169,169C PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 823169
267C,PUNGGOL FIELD,1.40429080195672,103.898319290734,823267,267C PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 823267
173C,PUNGGOL FIELD,,,,
169B,PUNGGOL FIELD,1.39322466506004,103.914067696947,822169,169B PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 822169
101D,PUNGGOL FIELD,1.39848478483582,103.90614388692,824101,101D PUNGGOL FIELD SINGAPORE 824101
269C,PUNGGOL FIELD,1.40365203255171,103.898531601376,823269,269C PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 823269
258C,PUNGGOL FIELD,1.40414193190214,103.896363634267,823258,258C PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 823258
270B,PUNGGOL FIELD,1.40410802463256,103.899031895755,822270,270B PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 822270
268B,PUNGGOL FIELD,1.40378241604129,103.897300084671,822268,268B PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 822268
199B,PUNGGOL FIELD,1.39996997980383,103.9057511815,822199,199B PUNGGOL FIELD SINGAPORE 822199
270A,PUNGGOL FIELD,1.40397950121026,103.899454945441,821270,270A PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 821270
659A,PUNGGOL EAST,1.40057277879052,103.919657048683,821659,659A PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 821659
168B,PUNGGOL EAST,1.39449602941946,103.913979040224,822168,168B PUNGGOL EAST THE SUNDIAL SINGAPORE 822168
167A,PUNGGOL EAST,1.39390824772023,103.915106920555,821167,167A PUNGGOL EAST THE SUNDIAL SINGAPORE 821167
658B,PUNGGOL EAST,1.40021371053357,103.919048765929,822658,658B PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 822658
167B,PUNGGOL EAST,1.39422713582442,103.914977357333,822167,167B PUNGGOL EAST THE SUNDIAL SINGAPORE 822167
665A,PUNGGOL DR,1.4022827275187,103.913637732874,NIL,665A PUNGGOL DRIVE NOBLELAND ARTS N LEARNING PLACE @WATERWAY PTE. LTD.
617A,PUNGGOL DR,1.40232925703382,103.911811406545,821617,617A PUNGGOL DRIVE PUNGGOL BREEZE SINGAPORE 821617
617D,PUNGGOL DR,1.40161428921505,103.912807967947,824617,617D PUNGGOL DRIVE PUNGGOL BREEZE SINGAPORE 824617
663A,PUNGGOL DR,1.40024347553794,103.917080046799,NIL,663A PUNGGOL DRIVE PCF SPARKLETOTS PRESCHOOL @ PUNGGOL NORTH 663A (DS)
678A,PUNGGOL DR,1.40566213236302,103.908718985826,821678,678A PUNGGOL DRIVE WATERWAY BROOKS SINGAPORE 821678
663C,PUNGGOL DR,1.40036549350585,103.91763192338,823663,663C PUNGGOL DRIVE WATERWAY SUNBEAM SINGAPORE 823663
612D,PUNGGOL DR,1.40472652611435,103.907623552659,824612,612D PUNGGOL DRIVE DAMAI GROVE SINGAPORE 824612
636A,PUNGGOL DR,1.40025421293811,103.91395378831,821636,636A PUNGGOL DRIVE EDGEDALE GREEN SINGAPORE 821636
667A,PUNGGOL DR,,,,
635B,PUNGGOL DR,,,,
619D,PUNGGOL DR,1.40211730418562,103.911081490497,824619,619D PUNGGOL DRIVE PUNGGOL BREEZE SINGAPORE 824619
635A,PUNGGOL DR,1.40094910812947,103.913777389579,821635,635A PUNGGOL DRIVE EDGEDALE GREEN SINGAPORE 821635
618B,PUNGGOL DR,1.40146581977448,103.9121219516,822618,618B PUNGGOL DRIVE PUNGGOL BREEZE SINGAPORE 822618
613C,PUNGGOL DR,1.40398321711595,103.908663894394,823613,613C PUNGGOL DRIVE DAMAI GROVE SINGAPORE 823613
613D,PUNGGOL DR,,,,
619B,PUNGGOL DR,1.4028812272329,103.911042035521,822619,619B PUNGGOL DRIVE PUNGGOL BREEZE SINGAPORE 822619
679A,PUNGGOL DR,1.40591156262743,103.908288150968,821679,679A PUNGGOL DRIVE WATERWAY BROOKS SINGAPORE 821679
677D,PUNGGOL DR,1.40588044840999,103.910158734881,824677,677D PUNGGOL DRIVE WATERWAY BROOKS SINGAPORE 824677
